Federal States,avg_dropouts_rate,avg_abitur_graduation_rate_%,avg_exam_pass_rate_%,avg_exam_fail_rate_%,avg_invest_per_student_in_€,avg_invest_per_student_in_%,avg_lesson_student_hours,avg_students_per_teacher
Baden-Württemberg,5.343987,30.086214,97.293379,2.706621,"7,572.73",5.858770573,1.77581,13.261736
Bayern,4.916763,28.89529,96.932067,3.067933,"8,909.09",6.892671262,1.64022,13.489715
Berlin,8.069948,43.284471,95.13188,4.86812,"10,081.82",7.799971867,1.785265,12.74085
Brandenburg,7.380596,40.182324,95.70532,4.29468,"7,681.82",5.943170629,1.737483,12.755887
Bremen,6.813686,37.329971,95.219964,4.780036,"8,281.82",6.407370938,1.772158,13.271497
Hamburg,5.868394,54.245235,96.262581,3.737419,"10,027.27",7.757771839,1.770412,12.675625
Hessen,4.81745,32.747806,96.762476,3.237524,"7,818.18",6.048670699,1.714893,13.535906
Mecklenburg-Vorpommern,9.905997,34.349382,94.006275,5.993725,"7,554.55",5.844703896,1.76583,13.642076
Niedersachsen,5.7848,30.604282,95.494601,4.505399,"7,554.55",5.844703896,1.685601,13.017753
Nordrhein-Westfalen,5.436519,38.589521,97.111472,2.888528,"6,854.55",5.303136869,1.603504,13.788068
Rheinland-Pfalz,6.122299,33.982679,97.562533,2.437467,"7,300.00",5.647770432,1.718584,13.605825
Saarland,5.897445,33.655349,97.06864,2.93136,"7,481.82",5.788437192,1.782509,12.53749
Sachsen,8.810749,30.951824,96.851892,3.148108,"7,863.64",6.083837389,1.735234,13.314646
Sachsen-Anhalt,10.465883,28.264785,95.380249,4.619751,"8,327.27",6.442537628,1.730051,12.554045
Schleswig-Holstein,7.617255,33.972585,96.063307,3.936693,"7,045.45",5.450836967,1.609598,14.229406
Thüringen,8.067703,32.85486,98.012456,1.987544,"8,900.00",6.885637924,1.728603,12.133922
,,,,,"129,254.55",100,,
