 ,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,year
,2.44,2.4,2.48,2.4,2.45,2.49,2.44,2.43,2.62,2.56,2.6,2.46,2.45,2.52,2.6,2.3,2010-01-01
,2.44,2.37,2.45,2.38,2.47,2.49,2.43,2.42,2.59,2.54,2.6,2.44,2.43,2.48,2.52,2.2,2011-01-01
,2.41,2.35,2.4,2.33,2.45,2.46,2.43,2.43,2.65,2.51,2.58,2.45,2.39,2.42,2.52,2.19,2012-01-01
,2.46,2.35,2.44,2.38,2.47,2.45,2.42,2.39,2.61,2.46,2.56,2.43,2.37,2.43,2.54,2.17,2013-01-01
,2.46,2.33,2.42,2.31,2.46,2.43,2.43,2.37,2.61,2.5,2.54,2.44,2.34,2.42,2.54,2.16,2014-01-01
,2.44,2.31,2.39,2.3,2.45,2.43,2.43,2.34,2.59,2.47,2.52,2.38,2.32,2.39,2.52,2.16,2015-01-01
,2.43,2.32,2.39,2.28,2.44,2.44,2.4,2.31,2.58,2.46,2.5,2.4,2.32,2.39,2.5,2.18,2016-01-01
,2.42,2.31,2.41,2.27,2.47,2.43,2.41,2.32,2.57,2.45,2.49,2.37,2.28,2.31,2.56,2.18,2017-01-01
,2.44,2.31,2.42,2.29,2.41,2.41,2.39,2.33,2.57,2.45,2.48,2.38,2.25,2.32,2.55,2.16,2018-01-01
,2.41,2.32,2.42,2.27,2.4,2.42,2.37,2.34,2.56,2.44,2.49,2.37,2.24,2.32,2.55,2.18,2019-01-01
,2.38,2.29,2.35,2.28,2.4,2.36,2.33,2.34,2.67,2.43,2.48,2.37,2.2,2.33,2.52,2.16,2020-01-01
,2.23,2.18,2.24,2.17,2.32,2.27,2.25,2.21,2.38,2.36,2.48,2.26,2.12,2.25,2.41,2.06,2021-01-01
,2.23,2.2,2.22,2.15,2.32,2.28,2.23,2.21,2.38,2.36,2.38,2.26,2.11,2.24,2.42,2.04,2022-01-01
