Federal States,avg_students_per_teacher
Baden-Wüttemberg,13.261735617906318
Bayern,13.489715413533665
Berlin,12.740850441969968
Brandenburg,12.755886508113008
Bremen,13.271497416495238
Hamburg,12.67562530099562
Hessen,13.535905527707083
Mecklenburg-Vorpommern,13.642075630121061
Niedersachsen,13.017752581479167
Nordrhein-Westfalen,13.788068493875818
Rheinland-Pfalz,13.605825176520387
Saarland,12.537490016812205
Sachsen,13.31464648692279
Sachsen-Anhalt,12.554044898964571
Schleswig-Holstein,14.229406459756554
Thüringen,12.133921854354698
