federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
BE,13614,12955,659,2010-01-01,4.840605259291905
BE,13115,12428,687,2011-01-01,5.238276782310332
BE,18695,17965,730,2012-01-01,3.9047873763038248
BE,13459,12755,704,2013-01-01,5.230700646407609
BE,15667,14954,713,2014-01-01,4.550967000702113
BE,16501,15876,625,2015-01-01,3.787649233379795
BE,17353,16493,860,2016-01-01,4.955915403676598
BE,18510,17402,1108,2017-01-01,5.9859535386277685
BE,18212,16522,1690,2018-01-01,9.279595870854381
BE,15198,14409,789,2019-01-01,5.191472562179234
BE,14371,13866,505,2020-01-01,3.5140212928814973
BE,14412,13939,473,2021-01-01,3.2819872328615043
BE,14644,14128,516,2022-01-01,3.523627424201038
