federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
Bayern,39196,38840,356,2010-01-01,0.908255944484131
Bayern,74205,72750,1455,2011-01-01,1.9607843137254901
Bayern,42467,40797,1670,2012-01-01,3.93246520827937
Bayern,42764,41355,1409,2013-01-01,3.2948274249368628
Bayern,42658,41239,1419,2014-01-01,3.32645693656524
Bayern,43564,42032,1532,2015-01-01,3.516665136351116
Bayern,43833,42495,1338,2016-01-01,3.0524946957771544
Bayern,44930,43342,1588,2017-01-01,3.5343868239483642
Bayern,43875,42291,1584,2018-01-01,3.61025641025641
Bayern,43073,41392,1681,2019-01-01,3.902676850927495
Bayern,39144,38104,1040,2020-01-01,2.6568567341099527
Bayern,40698,39463,1235,2021-01-01,3.034547152194211
Bayern,39715,38463,1252,2022-01-01,3.152461286667506
