latitude,longtitude,country,iso2,Federal States
52.5167,13.3833,Germany,DE,Berlin
53.55,10.0,Germany,DE,Hamburg
48.1372,11.5755,Germany,DE,Bayern
50.9422,6.9578,Germany,DE,Nordrhein-Westfalen
50.1136,8.6797,Germany,DE,Hessen
53.1153,8.7975,Germany,DE,Bremen
51.2311,6.7724,Germany,DE,Nordrhein-Westfalen
48.7761,9.1775,Germany,DE,Baden-Wüttemberg
51.3333,12.3833,Germany,DE,Sachsen
51.5139,7.4653,Germany,DE,Nordrhein-Westfalen
51.4508,7.0131,Germany,DE,Nordrhein-Westfalen
51.05,13.74,Germany,DE,Sachsen
52.3744,9.7386,Germany,DE,Lower SN
49.4539,11.0775,Germany,DE,Bayern
51.4322,6.7611,Germany,DE,Nordrhein-Westfalen
51.4833,7.2167,Germany,DE,Nordrhein-Westfalen
51.2667,7.1833,Germany,DE,Nordrhein-Westfalen
52.0167,8.5333,Germany,DE,Nordrhein-Westfalen
50.7339,7.0997,Germany,DE,Nordrhein-Westfalen
51.9625,7.6256,Germany,DE,Nordrhein-Westfalen
49.0167,8.4,Germany,DE,Baden-Wüttemberg
49.4878,8.4661,Germany,DE,Baden-Wüttemberg
48.3717,10.8983,Germany,DE,Bayern
51.3166,9.4912,Germany,DE,Hessen
50.0825,8.24,Germany,DE,Hessen
51.2,6.4333,Germany,DE,Nordrhein-Westfalen
51.5167,7.1,Germany,DE,Nordrhein-Westfalen
52.2692,10.5211,Germany,DE,Lower SN
50.7762,6.0838,Germany,DE,Nordrhein-Westfalen
54.3233,10.1394,Germany,DE,Schleswig-Holstein
50.8333,12.9167,Germany,DE,Sachsen
51.4828,11.9697,Germany,DE,Sachsen-Anhalt
52.1278,11.6292,Germany,DE,Sachsen-Anhalt
47.9947,7.8497,Germany,DE,Baden-Wüttemberg
51.3333,6.5667,Germany,DE,Nordrhein-Westfalen
50.0,8.2667,Germany,DE,Rheinland-Pfalz
53.8697,10.6864,Germany,DE,Schleswig-Holstein
51.4699,6.8514,Germany,DE,Nordrhein-Westfalen
54.0833,12.1333,Germany,DE,Mecklenburg-Vorpommern
50.9787,11.0328,Germany,DE,Thüringen
51.3594,7.475,Germany,DE,Nordrhein-Westfalen
52.4,13.0667,Germany,DE,Brandenburg
49.2333,7.0,Germany,DE,Saarland
51.6667,7.8167,Germany,DE,Nordrhein-Westfalen
49.4811,8.4353,Germany,DE,Rheinland-Pfalz
51.4275,6.8825,Germany,DE,Nordrhein-Westfalen
53.1439,8.2139,Germany,DE,Lower SN
52.2789,8.0431,Germany,DE,Lower SN
51.0333,6.9833,Germany,DE,Nordrhein-Westfalen
49.4122,8.71,Germany,DE,Baden-Wüttemberg
51.1667,7.0833,Germany,DE,Nordrhein-Westfalen
49.8667,8.65,Germany,DE,Hessen
51.5426,7.219,Germany,DE,Nordrhein-Westfalen
51.2003,6.6939,Germany,DE,Nordrhein-Westfalen
49.0167,12.0833,Germany,DE,Bayern
51.7167,8.7667,Germany,DE,Nordrhein-Westfalen
48.7636,11.4261,Germany,DE,Bayern
49.7944,9.9294,Germany,DE,Bayern
49.4783,10.9903,Germany,DE,Bayern
48.3984,9.9916,Germany,DE,Baden-Wüttemberg
49.1404,9.218,Germany,DE,Baden-Wüttemberg
48.895,8.705,Germany,DE,Baden-Wüttemberg
52.4231,10.7872,Germany,DE,Lower SN
51.5339,9.9356,Germany,DE,Lower SN
51.5232,6.9253,Germany,DE,Nordrhein-Westfalen
48.4833,9.2167,Germany,DE,Baden-Wüttemberg
50.3597,7.5978,Germany,DE,Rheinland-Pfalz
53.55,8.5833,Germany,DE,Bremen
51.6167,7.2,Germany,DE,Nordrhein-Westfalen
50.9917,7.1367,Germany,DE,Nordrhein-Westfalen
49.5964,11.0044,Germany,DE,Bayern
50.9272,11.5864,Germany,DE,Thüringen
51.1802,7.1872,Germany,DE,Nordrhein-Westfalen
49.7567,6.6414,Germany,DE,Rheinland-Pfalz
52.1503,10.3593,Germany,DE,Lower SN
51.4592,6.6197,Germany,DE,Nordrhein-Westfalen
50.8756,8.0167,Germany,DE,Nordrhein-Westfalen
52.15,9.95,Germany,DE,Lower SN
51.7606,14.3342,Germany,DE,Brandenburg
51.9,8.3833,Germany,DE,Nordrhein-Westfalen
49.4447,7.7689,Germany,DE,Rheinland-Pfalz
51.4333,7.3333,Germany,DE,Nordrhein-Westfalen
50.1328,8.9169,Germany,DE,Hessen
53.6333,11.4167,Germany,DE,Mecklenburg-Vorpommern
50.8782,12.0824,Germany,DE,Thüringen
48.7406,9.3108,Germany,DE,Baden-Wüttemberg
48.8975,9.1919,Germany,DE,Baden-Wüttemberg
51.3833,7.6667,Germany,DE,Nordrhein-Westfalen
50.8,6.4833,Germany,DE,Nordrhein-Westfalen
48.52,9.0556,Germany,DE,Baden-Wüttemberg
54.7819,9.4367,Germany,DE,Schleswig-Holstein
50.7189,12.4961,Germany,DE,Sachsen
50.5833,8.6667,Germany,DE,Hessen
51.3,6.85,Germany,DE,Nordrhein-Westfalen
51.6167,7.5167,Germany,DE,Nordrhein-Westfalen
48.0603,8.4586,Germany,DE,Baden-Wüttemberg
47.6633,9.1753,Germany,DE,Baden-Wüttemberg
51.6667,7.1167,Germany,DE,Nordrhein-Westfalen
49.6319,8.3653,Germany,DE,Rheinland-Pfalz
