Year,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,BRD
2010,6245,7579,2730,1629,370,1224,3863,1434,5218,11982,2565,566,2341,1844,2202,1266,53058
2011,5922,6983,2487,1411,482,1020,3370,1345,5085,11202,2469,487,2259,1738,2143,1157,49560
2012,5951,6459,2339,1439,412,993,3351,1266,4773,10691,2353,527,2288,1668,2114,1024,47648
2013,5517,5992,2115,1432,449,697,3029,1155,4372,11190,2346,509,2599,1479,2237,1177,46295
2014,5868,5892,2430,1462,448,755,3031,961,4245,11695,2357,489,2348,1528,2323,1118,46950
2015,5768,6259,3009,1556,447,897,2542,1000,4339,11054,2606,438,2354,1735,2234,1197,47435
2016,6125,7033,2490,1523,437,992,3217,1175,4291,10805,2525,662,2533,1663,2436,1286,49193
2017,7439,7496,2983,1564,575,896,3093,1133,4830,11149,2785,610,2566,1749,2293,1519,52680
2018,6951,7414,2955,1628,564,1084,3011,1194,5093,11522,2811,656,2637,2004,2453,1620,53597
2019,6281,6974,2699,1579,607,978,3044,1225,5424,11421,2958,637,2708,1995,2673,1627,52830
2020,5612,5964,2037,1134,593,1119,2555,919,4612,9708,2460,546,2455,1773,2283,1302,45072
2021,6209,6154,2000,1390,612,945,3152,1075,4590,10125,2760,549,2793,1671,2012,1453,47490
