Federal States,Grade 1.0,Grade 1.1,Grade 1.2,Grade 1.3,Grade 1.4,Grade 1.5,Grade 1.6,Grade 1.7,Grade 1.8,Grade 1.9,Grade 2.0,Grade 2.1,Grade 2.2,Grade 2.3,Grade 2.4,Grade 2.5,Grade 2.6,Grade 2.7,Grade 2.8,Grade 2.9,Grade 3.0,Grade 3.1,Grade 3.2,Grade 3.3,Grade 3.4,Grade 3.5,Grade 3.6,Grade 3.7,Grade 3.8,Grade 3.9,Grade 4.0,year
Baden-Wüttemberg,591,371,555,722,942,1141,1252,1514,1716,1983,2008,2186,2448,2490,2547,2708,2636,2614,2575,2536,2318,2261,1900,1587,1213,851,447,142,19,3,1,2010-01-01
Bayern,353,343,446,665,747,963,1106,1362,1581,1720,1863,2040,2251,2258,2215,2430,2304,2282,2167,2015,1655,1614,1369,1070,809,639,359,164,36,6,8,2010-01-01
Berlin,125,96,126,211,225,254,330,378,446,482,528,584,707,657,706,770,790,814,770,790,700,670,590,507,341,209,113,30,6,0,0,2010-01-01
Brandenburg,156,125,145,190,236,323,284,350,348,400,474,448,489,476,527,515,555,545,546,518,545,444,413,378,238,160,65,18,4,1,0,2010-01-01
Bremen,31,20,40,57,77,90,80,100,104,114,110,120,156,148,136,158,137,157,164,151,156,139,139,127,69,66,36,15,5,1,1,2010-01-01
Hamburg,141,111,148,190,241,317,330,365,427,507,505,532,599,667,624,693,743,709,735,614,713,663,613,540,412,313,198,64,15,4,0,2010-01-01
Hessen,281,221,294,403,423,531,611,704,798,836,917,1056,1168,1237,1226,1274,1381,1342,1274,1200,1221,1086,974,819,594,408,195,69,11,0,0,2010-01-01
Mecklenburg-Vorpommern,63,49,58,97,101,125,157,174,214,230,276,264,276,323,293,324,345,323,338,306,310,245,250,189,127,84,29,11,0,0,0,2010-01-01
Niedersachsen,193,150,220,329,387,481,583,718,853,898,955,1075,1213,1338,1465,1617,1706,1782,1871,1978,1921,1924,1812,1609,1381,992,580,224,39,2,0,2010-01-01
Nordrhein-Westfalen,763,603,847,1059,1198,1521,1789,2070,2270,2467,2594,2967,3231,3453,3595,3891,4018,4020,4254,4291,4102,4169,3987,3638,2881,2601,1656,840,239,23,12,2010-01-01
Rheinland-Pfalz,130,144,128,159,209,298,324,394,457,451,578,564,694,706,700,804,858,935,953,904,964,926,925,794,712,501,305,139,36,3,15,2010-01-01
Saarland,45,24,34,52,56,67,84,94,124,134,134,139,184,166,195,195,202,206,200,156,200,170,160,132,80,63,13,5,1,0,0,2010-01-01
Sachsen,72,47,93,134,166,192,233,319,319,389,383,414,465,502,530,492,506,494,518,465,480,491,403,319,216,110,52,19,2,2,3,2010-01-01
Sachsen-Anhalt,40,41,60,77,85,112,129,147,148,146,163,199,221,227,231,254,272,268,311,291,269,302,275,256,157,109,50,9,1,0,0,2010-01-01
Schleswig-Holstein,56,49,51,110,128,161,183,256,281,271,413,385,447,574,612,626,648,655,702,643,681,589,577,514,389,321,174,64,21,5,4,2010-01-01
Thüringen,121,109,126,153,192,216,266,266,276,300,315,319,333,395,318,372,331,364,321,291,256,275,223,155,118,81,27,15,2,0,0,2010-01-01
Baden-Wüttemberg,658,430,587,774,931,1178,1367,1622,1803,2057,2127,2228,2495,2600,2647,2766,2752,2616,2705,2591,2418,2215,2067,1758,1374,903,473,162,26,3,0,2011-01-01
Bayern,924,704,1020,1396,1627,2072,2372,2899,3049,3577,3385,3872,4098,4116,4200,4235,4119,3966,3680,3515,3158,2725,2425,1956,1448,1026,631,378,107,44,26,2011-01-01
Berlin,169,109,147,221,226,305,309,393,431,485,505,571,604,630,732,722,715,757,773,705,681,627,550,466,298,180,85,25,7,0,0,2011-01-01
Brandenburg,136,95,128,166,166,175,205,274,276,298,314,332,352,356,324,394,367,431,376,376,357,323,317,248,161,102,45,12,4,1,0,2011-01-01
Bremen,58,36,44,76,69,72,99,93,118,114,137,151,125,139,145,170,157,180,194,158,185,172,160,143,121,74,34,16,7,1,3,2011-01-01
Hamburg,95,69,88,108,144,185,209,214,272,325,320,315,318,394,413,440,440,442,459,457,449,420,394,304,258,158,95,31,9,1,0,2011-01-01
