Federal States,Examinations Total,Passed Examinations,Failed Examinations,year,Pass Rate
Baden-Wüttemberg,47635,46277,1358,2010-01-01,97.14915503306392
Bayern,39196,38840,356,2010-01-01,99.09174405551587
Berlin,13614,12955,659,2010-01-01,95.1593947407081
Brandenburg,10268,9916,352,2010-01-01,96.57187378262564
Bremen,3017,2904,113,2010-01-01,96.25455750745772
Hamburg,13087,12733,354,2010-01-01,97.2950255979216
Hessen,23119,22554,565,2010-01-01,97.55612266966564
Mecklenburg-Vorpommern,5802,5581,221,2010-01-01,96.19096863150638
Niedersachsen,31561,30296,1265,2010-01-01,95.99188872342448
Nordrhein-Westfalen,76662,75049,1613,2010-01-01,97.89595888445383
Rheinland-Pfalz,15887,15710,177,2010-01-01,98.8858815383647
Saarland,3386,3315,71,2010-01-01,97.9031305375074
Sachsen,9167,8830,337,2010-01-01,96.32377004472563
Sachsen-Anhalt,5236,4850,386,2010-01-01,92.62796027501908
Schleswig-Holstein,10699,10590,109,2010-01-01,98.9812131974951
Thüringen,6648,6536,112,2010-01-01,98.31528279181708
Baden-Wüttemberg,49671,48333,1338,2011-01-01,97.30627529141752
Bayern,74205,72750,1455,2011-01-01,98.0392156862745
Berlin,13115,12428,687,2011-01-01,94.76172321768966
Brandenburg,7376,7111,265,2011-01-01,96.40726681127984
Bremen,3402,3251,151,2011-01-01,95.56143445032332
Hamburg,8191,7826,365,2011-01-01,95.5438896349652
Hessen,23883,23169,714,2011-01-01,97.01042582590128
Mecklenburg-Vorpommern,3475,3327,148,2011-01-01,95.74100719424462
Niedersachsen,49274,47507,1767,2011-01-01,96.41393026748386
Nordrhein-Westfalen,79240,77847,1393,2011-01-01,98.24204946996468
Rheinland-Pfalz,16138,15914,224,2011-01-01,98.6119717437105
Saarland,3353,3269,84,2011-01-01,97.4947807933194
Sachsen,7988,7673,315,2011-01-01,96.05658487731596
Sachsen-Anhalt,4551,4309,242,2011-01-01,94.6824873654142
Schleswig-Holstein,11054,10785,269,2011-01-01,97.5664917676859
Thüringen,5102,5030,72,2011-01-01,98.58878871030969
Baden-Wüttemberg,75286,73513,1773,2012-01-01,97.6449804744574
Bayern,42467,40797,1670,2012-01-01,96.06753479172065
Berlin,18695,17965,730,2012-01-01,96.09521262369618
Brandenburg,10193,9793,400,2012-01-01,96.0757382517414
Bremen,4519,4281,238,2012-01-01,94.7333480858597
Hamburg,8583,8238,345,2012-01-01,95.98042642432716
Hessen,25472,24796,676,2012-01-01,97.3461055276382
Mecklenburg-Vorpommern,3691,3526,165,2012-01-01,95.52966675697644
Niedersachsen,34589,32682,1907,2012-01-01,94.48668651883548
Nordrhein-Westfalen,84703,83092,1611,2012-01-01,98.0980602812179
Rheinland-Pfalz,16683,16456,227,2012-01-01,98.63933345321584
Saarland,3542,3439,103,2012-01-01,97.09203839638624
Sachsen,8070,7819,251,2012-01-01,96.8897149938042
Sachsen-Anhalt,4501,4318,183,2012-01-01,95.9342368362586
Schleswig-Holstein,11629,11105,524,2012-01-01,95.49402356178518
Thüringen,5236,5128,108,2012-01-01,97.93735676088616
Baden-Wüttemberg,49486,48105,1381,2013-01-01,97.20931172452816
Bayern,42764,41355,1409,2013-01-01,96.70517257506312
Berlin,13459,12755,704,2013-01-01,94.7692993535924
Brandenburg,7493,7172,321,2013-01-01,95.71600160149472
Bremen,3242,3071,171,2013-01-01,94.72547809993831
Hamburg,8873,8592,281,2013-01-01,96.83308914685
Hessen,32609,31679,930,2013-01-01,97.14802661841824
Mecklenburg-Vorpommern,3595,3363,232,2013-01-01,93.54659248956884
Niedersachsen,33012,31602,1410,2013-01-01,95.72882588149764
Nordrhein-Westfalen,126757,123896,2861,2013-01-01,97.74292544001514
Rheinland-Pfalz,17254,17035,219,2013-01-01,98.7307291062942
Saarland,3578,3471,107,2013-01-01,97.00950251537172
Sachsen,8517,8269,248,2013-01-01,97.08817658800048
Sachsen-Anhalt,4353,4133,220,2013-01-01,94.94601424305075
Schleswig-Holstein,12293,11796,497,2013-01-01,95.95704872691776
Thüringen,5262,5136,126,2013-01-01,97.6054732041049
Baden-Wüttemberg,49665,48228,1437,2014-01-01,97.10661431591664
Bayern,42658,41239,1419,2014-01-01,96.67354306343476
Berlin,15667,14954,713,2014-01-01,95.44903299929788
Brandenburg,7251,6932,319,2014-01-01,95.6006068128534
Bremen,3216,3055,161,2014-01-01,94.99378109452736
Hamburg,9159,8816,343,2014-01-01,96.25504967791244
Hessen,30011,29147,864,2014-01-01,97.12105561294192
Mecklenburg-Vorpommern,3757,3512,245,2014-01-01,93.47883949960074
Niedersachsen,33875,32387,1488,2014-01-01,95.60738007380074
Nordrhein-Westfalen,87827,85398,2429,2014-01-01,97.23433568264883
Rheinland-Pfalz,16647,16272,375,2014-01-01,97.7473418633988
Saarland,3659,3565,94,2014-01-01,97.43099207433724
Sachsen,8930,8706,224,2014-01-01,97.491601343785
Sachsen-Anhalt,4759,4494,265,2014-01-01,94.43160327799956
Schleswig-Holstein,12547,12104,443,2014-01-01,96.46927552402964
Thüringen,5728,5622,106,2014-01-01,98.14944134078212
Baden-Wüttemberg,52400,51101,1299,2015-01-01,97.52099236641222
Bayern,43564,42032,1532,2015-01-01,96.48333486364888
Berlin,16501,15876,625,2015-01-01,96.2123507666202
Brandenburg,8419,8062,357,2015-01-01,95.75959140040383
Bremen,3372,3235,137,2015-01-01,95.93712930011864
Hamburg,9837,9451,386,2015-01-01,96.0760394429196
Hessen,26359,25574,785,2015-01-01,97.02189005652718
Mecklenburg-Vorpommern,4393,4092,301,2015-01-01,93.1481903027544
Niedersachsen,35227,33770,1457,2015-01-01,95.86396797910692
Nordrhein-Westfalen,88912,86347,2565,2015-01-01,97.11512506748244
Rheinland-Pfalz,17380,16969,411,2015-01-01,97.63521288837744
Saarland,3961,3875,86,2015-01-01,97.82883110325676
Sachsen,11324,11037,287,2015-01-01,97.46555987283644
Sachsen-Anhalt,5412,5157,255,2015-01-01,95.28824833702882
Schleswig-Holstein,13233,12751,482,2015-01-01,96.35759087130658
Thüringen,6369,6234,135,2015-01-01,97.88035798398492
Baden-Wüttemberg,52592,51197,1395,2016-01-01,97.34750532400363
Bayern,43833,42495,1338,2016-01-01,96.94750530422284
Berlin,17353,16493,860,2016-01-01,95.0440845963234
Brandenburg,8988,8597,391,2016-01-01,95.64975522919448
Bremen,3273,3138,135,2016-01-01,95.87534372135656
Hamburg,10247,9768,479,2016-01-01,95.32546111056894
Hessen,25370,24486,884,2016-01-01,96.51556957035868
Mecklenburg-Vorpommern,5289,4941,348,2016-01-01,93.42030629608622
Niedersachsen,34928,33421,1507,2016-01-01,95.68540998625744
Nordrhein-Westfalen,89815,87071,2744,2016-01-01,96.94483104158547
Rheinland-Pfalz,19079,18560,519,2016-01-01,97.2797316421196
Saarland,3842,3727,115,2016-01-01,97.00676730869338
Sachsen,11855,11496,359,2016-01-01,96.97174188106284
Sachsen-Anhalt,5791,5541,250,2016-01-01,95.68295631151788
Schleswig-Holstein,20662,19859,803,2016-01-01,96.11363856354662
Thüringen,6896,6698,198,2016-01-01,97.12877030162412
Baden-Wüttemberg,51724,50150,1574,2017-01-01,96.95692521846723
Bayern,44930,43342,1588,2017-01-01,96.46561317605163
Berlin,18510,17402,1108,2017-01-01,94.01404646137225
Brandenburg,10151,9735,416,2017-01-01,95.90188158802088
Bremen,3013,2839,174,2017-01-01,94.22502489213409
Hamburg,9822,9311,511,2017-01-01,94.79739360619018
Hessen,25317,24408,909,2017-01-01,96.4095271951653
Mecklenburg-Vorpommern,5321,4949,372,2017-01-01,93.00883292614172
Niedersachsen,34256,32699,1557,2017-01-01,95.45481083605792
Nordrhein-Westfalen,87091,84040,3051,2017-01-01,96.49676774867667
Rheinland-Pfalz,18440,17977,463,2017-01-01,97.4891540130152
Saarland,3549,3460,89,2017-01-01,97.49225133840518
Sachsen,12772,12380,392,2017-01-01,96.9307860945819
Sachsen-Anhalt,5864,5579,285,2017-01-01,95.13983628922236
Schleswig-Holstein,14672,14009,663,2017-01-01,95.48118865866958
Thüringen,6750,6608,142,2017-01-01,97.8962962962963
Baden-Wüttemberg,51152,49339,1813,2018-01-01,96.45566155771034
Bayern,43875,42291,1584,2018-01-01,96.3897435897436
Berlin,18212,16522,1690,2018-01-01,90.72040412914562
Brandenburg,10171,9733,438,2018-01-01,95.69363877691475
Bremen,2863,2699,164,2018-01-01,94.27174292699964
Hamburg,9596,9218,378,2018-01-01,96.0608586911213
Hessen,25101,24081,1020,2018-01-01,95.93641687582168
Mecklenburg-Vorpommern,5563,5223,340,2018-01-01,93.88818982563365
Niedersachsen,33951,32095,1856,2018-01-01,94.53329798827724
Nordrhein-Westfalen,85626,82612,3014,2018-01-01,96.48004110900894
