,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
159,Berlin,Berlin,52.52,13.405,Germany,DE,DEU,Berlin,primary,4473101.0,1276451290
290,Stuttgart,Stuttgart,48.7775,9.18,Germany,DE,DEU,Baden-Württemberg,admin,2787724.0,1276171358
317,Munich,Munich,48.1375,11.575,Germany,DE,DEU,Bayern,admin,2606021.0,1276692352
335,Hamburg,Hamburg,53.55,10.0,Germany,DE,DEU,Hamburg,admin,2484800.0,1276041799
700,Cologne,Cologne,50.9364,6.9528,Germany,DE,DEU,Nordrhein-Westfalen,,1083498.0,1276015998
1101,Frankfurt,Frankfurt,50.1106,8.6822,Germany,DE,DEU,Hessen,minor,764104.0,1276054552
1269,Düsseldorf,Dusseldorf,51.2333,6.7833,Germany,DE,DEU,Nordrhein-Westfalen,admin,645923.0,1276615258
1329,Leipzig,Leipzig,51.34,12.375,Germany,DE,DEU,Sachsen,minor,615081.0,1276563678
1374,Dortmund,Dortmund,51.5167,7.4667,Germany,DE,DEU,Nordrhein-Westfalen,minor,587696.0,1276562886
1383,Essen,Essen,51.4508,7.0131,Germany,DE,DEU,Nordrhein-Westfalen,minor,582415.0,1276769247
1410,Bremen,Bremen,53.0833,8.8,Germany,DE,DEU,Bremen,admin,566573.0,1276376509
1418,Dresden,Dresden,51.05,13.74,Germany,DE,DEU,Sachsen,admin,561922.0,1276561036
1451,Hannover,Hannover,52.3667,9.7167,Germany,DE,DEU,Niedersachsen,admin,542668.0,1276457707
1510,Nuremberg,Nuremberg,49.4539,11.0775,Germany,DE,DEU,Bayern,minor,515543.0,1276166609
1567,Duisburg,Duisburg,51.4347,6.7625,Germany,DE,DEU,Nordrhein-Westfalen,minor,495885.0,1276977172
1964,Bochum,Bochum,51.4819,7.2158,Germany,DE,DEU,Nordrhein-Westfalen,minor,364454.0,1276227288
2021,Wuppertal,Wuppertal,51.2667,7.1833,Germany,DE,DEU,Nordrhein-Westfalen,minor,355004.0,1276004611
2128,Bielefeld,Bielefeld,52.0211,8.5347,Germany,DE,DEU,Nordrhein-Westfalen,minor,334002.0,1276112885
2133,Bonn,Bonn,50.7333,7.1,Germany,DE,DEU,Nordrhein-Westfalen,minor,331885.0,1276807850
2229,Münster,Munster,51.9625,7.6256,Germany,DE,DEU,Nordrhein-Westfalen,minor,317713.0,1276714504
2252,Mannheim,Mannheim,49.4878,8.4661,Germany,DE,DEU,Baden-Württemberg,minor,311831.0,1276150104
2275,Karlsruhe,Karlsruhe,49.0092,8.404,Germany,DE,DEU,Baden-Württemberg,minor,308436.0,1276923210
2354,Augsburg,Augsburg,48.3689,10.8978,Germany,DE,DEU,Bayern,minor,296478.0,1276314100
2468,Wiesbaden,Wiesbaden,50.0825,8.24,Germany,DE,DEU,Hessen,admin,278950.0,1276652118
2593,Gelsenkirchen,Gelsenkirchen,51.5167,7.1,Germany,DE,DEU,Nordrhein-Westfalen,minor,260126.0,1276788537
2594,Mönchengladbach,Monchengladbach,51.2,6.4333,Germany,DE,DEU,Nordrhein-Westfalen,minor,261001.0,1276982173
2698,Aachen,Aachen,50.7756,6.0836,Germany,DE,DEU,Nordrhein-Westfalen,minor,249070.0,1276805572
2705,Braunschweig,Braunschweig,52.2667,10.5167,Germany,DE,DEU,Niedersachsen,minor,248823.0,1276941443
2717,Chemnitz,Chemnitz,50.8333,12.9167,Germany,DE,DEU,Sachsen,minor,248042.0,1276519956
2726,Kiel,Kiel,54.3233,10.1394,Germany,DE,DEU,Schleswig-Holstein,admin,246601.0,1276305306
2800,Halle,Halle,51.4828,11.9697,Germany,DE,DEU,Sachsen-Anhalt,minor,238061.0,1276167077
2828,Magdeburg,Magdeburg,52.1317,11.6392,Germany,DE,DEU,Sachsen-Anhalt,admin,236188.0,1276418236
