year,Baden-Württemberg_Ohne Hauptschulabschluss,Baden-Württemberg_Hauptschulabschluss,Baden-Württemberg_Mittlerer Schulabschluss,Baden-Württemberg_Fachhochschulreife,Baden-Württemberg_Allgemeine Hochschulreife,Baden-Württemberg_Insgesamt,Bayern_Ohne Hauptschulabschluss,Bayern_Hauptschulabschluss,Bayern_Mittlerer Schulabschluss,Bayern_Fachhochschulreife,Bayern_Allgemeine Hochschulreife,Bayern_Insgesamt,Berlin_Ohne Hauptschulabschluss,Berlin_Hauptschulabschluss,Berlin_Mittlerer Schulabschluss,Berlin_Fachhochschulreife,Berlin_Allgemeine Hochschulreife,Berlin_Insgesamt,Brandenburg_Ohne Hauptschulabschluss,Brandenburg_Hauptschulabschluss,Brandenburg_Mittlerer Schulabschluss,Brandenburg_Fachhochschulreife,Brandenburg_Allgemeine Hochschulreife,Brandenburg_Insgesamt,Bremen_Ohne Hauptschulabschluss,Bremen_Hauptschulabschluss,Bremen_Mittlerer Schulabschluss,Bremen_Fachhochschulreife,Bremen_Allgemeine Hochschulreife,Bremen_Insgesamt,Hamburg_Ohne Hauptschulabschluss,Hamburg_Hauptschulabschluss,Hamburg_Mittlerer Schulabschluss,Hamburg_Fachhochschulreife,Hamburg_Allgemeine Hochschulreife,Hamburg_Insgesamt,Hessen_Ohne Hauptschulabschluss,Hessen_Hauptschulabschluss,Hessen_Mittlerer Schulabschluss,Hessen_Fachhochschulreife,Hessen_Allgemeine Hochschulreife,Hessen_Insgesamt,Mecklenburg-Vorpommern_Ohne Hauptschulabschluss,Mecklenburg-Vorpommern_Hauptschulabschluss,Mecklenburg-Vorpommern_Mittlerer Schulabschluss,Mecklenburg-Vorpommern_Fachhochschulreife,Mecklenburg-Vorpommern_Allgemeine Hochschulreife,Mecklenburg-Vorpommern_Insgesamt,Niedersachsen_Ohne Hauptschulabschluss,Niedersachsen_Hauptschulabschluss,Niedersachsen_Mittlerer Schulabschluss,Niedersachsen_Fachhochschulreife,Niedersachsen_Allgemeine Hochschulreife,Niedersachsen_Insgesamt,Nordrhein-Westfalen_Ohne Hauptschulabschluss,Nordrhein-Westfalen_Hauptschulabschluss,Nordrhein-Westfalen_Mittlerer Schulabschluss,Nordrhein-Westfalen_Fachhochschulreife,Nordrhein-Westfalen_Allgemeine Hochschulreife,Nordrhein-Westfalen_Insgesamt,Rheinland-Pfalz_Ohne Hauptschulabschluss,Rheinland-Pfalz_Hauptschulabschluss,Rheinland-Pfalz_Mittlerer Schulabschluss,Rheinland-Pfalz_Fachhochschulreife,Rheinland-Pfalz_Allgemeine Hochschulreife,Rheinland-Pfalz_Insgesamt,Saarland_Ohne Hauptschulabschluss,Saarland_Hauptschulabschluss,Saarland_Mittlerer Schulabschluss,Saarland_Fachhochschulreife,Saarland_Allgemeine Hochschulreife,Saarland_Insgesamt,Sachsen_Ohne Hauptschulabschluss,Sachsen_Hauptschulabschluss,Sachsen_Mittlerer Schulabschluss,Sachsen_Fachhochschulreife,Sachsen_Allgemeine Hochschulreife,Sachsen_Insgesamt,Sachsen-Anhalt_Ohne Hauptschulabschluss,Sachsen-Anhalt_Hauptschulabschluss,Sachsen-Anhalt_Mittlerer Schulabschluss,Sachsen-Anhalt_Fachhochschulreife,Sachsen-Anhalt_Allgemeine Hochschulreife,Sachsen-Anhalt_Insgesamt,Schleswig-Holstein_Ohne Hauptschulabschluss,Schleswig-Holstein_Hauptschulabschluss,Schleswig-Holstein_Mittlerer Schulabschluss,Schleswig-Holstein_Fachhochschulreife,Schleswig-Holstein_Allgemeine Hochschulreife,Schleswig-Holstein_Insgesamt,Thüringen_Ohne Hauptschulabschluss,Thüringen_Hauptschulabschluss,Thüringen_Mittlerer Schulabschluss,Thüringen_Fachhochschulreife,Thüringen_Allgemeine Hochschulreife,Thüringen_Insgesamt
2010,6245,31999,50150,313,34009,122716,7579,35507,59897,36,35719,138738,2730,6889,9090,0,12372,31081,1629,2901,6136,44,9324,20034,370,1733,2788,114,2681,7686,1224,2698,3993,542,12176,20633,3863,14471,28396,1263,20065,68058,1434,1497,3923,328,3667,10849,5218,14462,41347,1346,24973,87346,11982,38685,87742,7625,70102,216136,2565,9734,18252,713,13688,44952,566,2864,3415,104,3078,10027,2341,2539,12052,0,7224,24156,1844,2830,6396,453,4233,15756,2202,8744,11228,574,9398,32146,1266,2200,6051,0,5485,15002
2011,5922,30812,49227,310,35374,121645,6983,34407,59919,12,68880,170201,2487,6312,8940,0,11863,29602,1411,2841,5570,4,6689,16515,482,1694,2763,140,2860,7939,1020,2359,3330,460,7345,14514,3370,12894,27363,1959,20384,65970,1345,1139,3686,294,3093,9557,5085,12695,41338,1547,42105,102770,11202,36266,81977,7129,72413,208987,2469,9333,18050,785,13768,44405,487,2719,3382,110,3086,9784,2259,2823,11192,0,6674,22948,1738,2427,6172,366,3924,14627,2143,7887,10974,653,8382,30039,1157,2052,5875,0,4326,13410
2012,5951,23304,50655,380,59538,139828,6459,34409,60273,13,36755,137909,2339,6195,9560,0,17155,35249,1439,2513,6811,43,9512,20318,412,1624,2758,93,3889,8776,993,2546,3317,395,7783,15034,3351,12361,27171,1825,21742,66450,1266,1321,4064,381,3333,10365,4773,12870,41339,1779,26676,87437,10691,34767,81114,7182,77679,211433,2353,8965,18259,911,13947,44435,527,2753,3391,166,3130,9967,2288,2712,11895,0,6819,23714,1668,2193,6996,0,4081,14938,2114,7075,10705,777,8631,29302,1024,1890,6219,0,4502,13635
2013,5517,23952,57262,306,33808,120845,5992,31137,62331,6,37684,137150,2115,5931,10124,0,12230,30400,1432,2710,7160,0,6717,18019,449,1575,2667,150,2773,7614,697,1511,3691,61,8195,14155,3029,11741,30775,445,28404,74394,1155,1345,4724,0,3329,10553,4372,12132,44168,0,25797,86469,11190,34448,91607,100,117895,255240,2346,8754,19367,0,14392,44859,509,2674,3806,0,3148,10137,2599,2948,13161,0,7349,26057,1479,1713,7510,0,3892,14594,2237,6511,12087,0,9139,29974,1177,2232,6924,0,4541,14874
2014,5868,22673,57236,288,33531,119596,5892,30311,62845,5,37596,136649,2430,5090,10157,0,12336,30013,1462,2653,7550,42,6495,18202,448,1513,2680,107,2786,7534,755,2486,3770,64,8514,15589,3031,11277,29768,300,26004,70380,961,1461,4956,0,3681,11059,4245,12027,44288,0,26745,87305,11695,32838,87374,35,79141,211083,2357,8544,19231,0,13626,43758,489,2567,3452,0,3212,9720,2348,3068,14272,0,8201,27889,1528,1928,8030,0,4256,15742,2323,5929,12661,0,9367,30280,1118,2284,7521,0,4999,15922
2015,5768,22205,57290,345,35128,120736,6259,29156,62158,7,38777,136357,3009,5186,10398,2,12745,31340,1556,2833,8938,16,7509,20852,447,1395,2770,246,3002,7860,897,2782,3843,0,9087,16609,2542,9762,27952,314,22097,62667,1000,1692,5071,0,4248,12011,4339,11120,42438,0,27909,85806,11054,30638,85485,40,79889,207106,2606,8143,18131,0,14213,43093,438,2372,3155,0,3479,9444,2354,2800,14393,0,9317,28864,1735,1960,8279,0,4895,16869,2234,5575,12335,3,9985,30132,1197,2329,7458,0,5582,16566
2016,6125,21858,56130,362,34631,119106,7033,28729,65405,4,38985,140156,2490,4545,9893,0,14105,31033,1523,2891,8637,32,7922,21005,437,1261,2463,0,2831,6992,992,2588,3944,0,9420,16944,3217,11274,29375,291,21045,65202,1175,1711,5198,0,4479,12563,4291,11333,40977,0,27564,84165,10805,29768,82831,89,79560,203053,2525,8062,16944,0,15700,43231,662,2273,3314,0,3303,9552,2533,2798,15671,0,9618,30620,1663,2110,8728,0,5147,17648,2436,5572,12263,0,16925,37196,1286,2470,7457,0,5932,17145
2017,7439,17653,53815,355,33953,113215,7496,26859,62651,0,39071,136077,2983,4565,9786,0,15115,32449,1564,2797,8057,0,8945,21363,575,1327,2496,0,2592,6990,896,3178,4034,0,9038,17146,3093,11940,27763,233,20738,63767,1133,1749,5348,0,4583,12813,4830,11686,39183,0,26756,82455,11149,29155,80853,40,76038,197235,2785,8275,16071,0,15030,42161,610,2434,3090,0,3082,9216,2566,2958,15606,0,10332,31462,1749,1937,8733,0,5156,17575,2293,5351,11676,0,11112,30432,1519,2525,7650,0,5757,17451
2018,6951,17493,50602,350,33109,108505,7414,27883,60465,0,38431,134193,2955,4534,9420,0,13985,30894,1628,2821,8400,24,8833,21706,564,1368,2398,245,2571,7146,1084,3138,4001,0,9032,17255,3011,11385,26719,249,20619,61983,1194,1897,5578,0,4870,13539,5093,11516,37932,0,26528,81069,11522,28287,74356,32,75001,189198,2811,7699,16469,0,14793,41772,656,2585,2790,0,3230,9261,2637,2924,15058,0,10119,30738,2004,2022,8571,0,5490,18090,2453,5353,11234,0,10224,29264,1620,2610,7609,0,5716,17555
2019,6281,17091,50767,388,31853,106380,6974,26808,59076,0,36937,129795,2699,4866,10086,0,13665,31316,1579,2878,8213,0,8475,21145,607,1371,2204,0,2356,6538,978,3000,3742,0,8855,16575,3044,10465,27369,188,18971,60037,1225,1796,5628,0,4708,13357,5424,11205,36463,0,27087,80179,11421,30249,72915,48,74520,189156,2958,7312,15280,0,14735,40285,637,2417,2786,0,3016,8856,2708,3124,15494,0,10400,31726,1995,2172,8712,0,5247,18129,2673,5078,10812,0,10511,29074,1627,2635,8032,0,5971,18265
