federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
Bremen,3017,2904,113,2010-01-01,3.7454424925422605
Bremen,3402,3251,151,2011-01-01,4.438565549676661
Bremen,4519,4281,238,2012-01-01,5.266651914140297
Bremen,3242,3071,171,2013-01-01,5.274521900061691
Bremen,3216,3055,161,2014-01-01,5.006218905472637
Bremen,3372,3235,137,2015-01-01,4.062870699881376
Bremen,3273,3138,135,2016-01-01,4.124656278643447
Bremen,3013,2839,174,2017-01-01,5.774975107865914
Bremen,2863,2699,164,2018-01-01,5.728257073000349
Bremen,2722,2583,139,2019-01-01,5.106539309331374
Bremen,2762,2644,118,2020-01-01,4.272266473569877
Bremen,2762,2635,127,2021-01-01,4.598117306299783
Bremen,2784,2652,132,2022-01-01,4.741379310344827
