federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
Hamburg,13087,12733,354,2010-01-01,2.704974402078398
Hamburg,8191,7826,365,2011-01-01,4.456110365034794
Hamburg,8583,8238,345,2012-01-01,4.019573575672842
Hamburg,8873,8592,281,2013-01-01,3.1669108531500054
Hamburg,9159,8816,343,2014-01-01,3.744950322087564
Hamburg,9837,9451,386,2015-01-01,3.923960557080411
Hamburg,10247,9768,479,2016-01-01,4.6745388894310524
Hamburg,9822,9311,511,2017-01-01,5.202606393809814
Hamburg,9596,9218,378,2018-01-01,3.9391413088786993
Hamburg,9479,9015,464,2019-01-01,4.895031121426311
Hamburg,9326,9077,249,2020-01-01,2.6699549646150547
Hamburg,9351,9144,207,2021-01-01,2.213666987487969
Hamburg,9210,8936,274,2022-01-01,2.975027144408252
