Federal States,avg_abitur_student_in_€,avg_abitur_graduation_rate_in_%
Baden-Württemberg,7572.727272727273,30.086214045032776
Bayern,8909.09090909091,28.895290017225904
Berlin,10081.818181818182,43.28447092673861
Brandenburg,7681.818181818182,40.182323641394
Bremen,8281.818181818182,37.32997088213473
Hamburg,10027.272727272728,54.24523456967322
Hessen,7818.181818181818,32.747806071506666
Mecklenburg-Vorpommern,7554.545454545455,34.34938184664562
Niedersachsen,7554.545454545455,30.60428169923028
Nordrhein-Westfalen,6854.545454545455,38.5895213645844
Rheinland-Pfalz,7300.0,33.98267875622284
Saarland,7481.818181818182,33.65534869982298
Sachsen,7863.636363636364,30.95182413337182
Sachsen-Anhalt,8327.272727272728,28.264785459722734
Schleswig-Holstein,7045.454545454545,33.97258531794397
Thüringen,8900.0,32.85486006493966
