federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
NI,31561,30296,1265,2010-01-01,4.00811127657552
NI,49274,47507,1767,2011-01-01,3.586069732516134
NI,34589,32682,1907,2012-01-01,5.513313481164532
NI,33012,31602,1410,2013-01-01,4.271174118502363
NI,33875,32387,1488,2014-01-01,4.392619926199262
NI,35227,33770,1457,2015-01-01,4.136032020893065
NI,34928,33421,1507,2016-01-01,4.3145900137425555
NI,34256,32699,1557,2017-01-01,4.545189163942083
NI,33951,32095,1856,2018-01-01,5.466702011722777
NI,34286,32414,1872,2019-01-01,5.459954500379164
NI,10471,9884,587,2020-01-01,5.6059593162066665
NI,30963,30065,898,2021-01-01,2.9002357652682234
NI,30456,29125,1331,2022-01-01,4.3702390333596
