federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
Rheinland-Pfalz,15887,15710,177,2010-01-01,1.1141184616352993
Rheinland-Pfalz,16138,15914,224,2011-01-01,1.388028256289503
Rheinland-Pfalz,16683,16456,227,2012-01-01,1.3606665467841517
Rheinland-Pfalz,17254,17035,219,2013-01-01,1.2692708937058075
Rheinland-Pfalz,16647,16272,375,2014-01-01,2.2526581366011893
Rheinland-Pfalz,17380,16969,411,2015-01-01,2.364787111622555
Rheinland-Pfalz,19079,18560,519,2016-01-01,2.720268357880392
Rheinland-Pfalz,18440,17977,463,2017-01-01,2.5108459869848154
Rheinland-Pfalz,17879,17375,504,2018-01-01,2.8189496056826444
Rheinland-Pfalz,17591,17001,590,2019-01-01,3.353987834688193
Rheinland-Pfalz,16867,16359,508,2020-01-01,3.0117981858066045
Rheinland-Pfalz,16867,16359,508,2021-01-01,3.0117981858066045
Rheinland-Pfalz,16231,15499,732,2022-01-01,4.509888484997844
