federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
Schleswig-Holstein,10699,10590,109,2010-01-01,1.018786802504907
Schleswig-Holstein,11054,10785,269,2011-01-01,2.4335082323140944
Schleswig-Holstein,11629,11105,524,2012-01-01,4.505976438214808
Schleswig-Holstein,12293,11796,497,2013-01-01,4.042951273082242
Schleswig-Holstein,12547,12104,443,2014-01-01,3.5307244759703518
Schleswig-Holstein,13233,12751,482,2015-01-01,3.6424091286934175
Schleswig-Holstein,20662,19859,803,2016-01-01,3.886361436453393
Schleswig-Holstein,14672,14009,663,2017-01-01,4.518811341330426
Schleswig-Holstein,13591,12909,682,2018-01-01,5.018026635273342
Schleswig-Holstein,14044,13296,748,2019-01-01,5.326117915123897
Schleswig-Holstein,13061,12446,615,2020-01-01,4.708674680346069
Schleswig-Holstein,12282,11795,487,2021-01-01,3.965152255333008
Schleswig-Holstein,11748,11210,538,2022-01-01,4.579502894109636
