federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
Saarland,3386,3315,71,2010-01-01,2.0968694624926165
Saarland,3353,3269,84,2011-01-01,2.5052192066805845
Saarland,3542,3439,103,2012-01-01,2.9079616036137774
Saarland,3578,3471,107,2013-01-01,2.990497484628284
Saarland,3659,3565,94,2014-01-01,2.5690079256627496
Saarland,3961,3875,86,2015-01-01,2.1711688967432465
Saarland,3842,3727,115,2016-01-01,2.993232691306611
Saarland,3549,3460,89,2017-01-01,2.5077486615948152
Saarland,3645,3533,112,2018-01-01,3.072702331961591
Saarland,3336,3211,125,2019-01-01,3.747002398081535
Saarland,3366,3277,89,2020-01-01,2.644087938205585
Saarland,3537,3416,121,2021-01-01,3.4209782301385356
Saarland,3325,3176,149,2022-01-01,4.481203007518797
