federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
Sachsen,9167,8830,337,2010-01-01,3.6762299552743536
Sachsen,7988,7673,315,2011-01-01,3.9434151226840264
Sachsen,8070,7819,251,2012-01-01,3.1102850061957867
Sachsen,8517,8269,248,2013-01-01,2.9118234119995305
Sachsen,8930,8706,224,2014-01-01,2.5083986562150056
Sachsen,11324,11037,287,2015-01-01,2.5344401271635464
Sachsen,11855,11496,359,2016-01-01,3.028258118937157
Sachsen,12772,12380,392,2017-01-01,3.0692139054181022
Sachsen,12687,12247,440,2018-01-01,3.4681169701269012
Sachsen,13069,12660,409,2019-01-01,3.129543193817431
Sachsen,12935,12536,399,2020-01-01,3.0846540394279085
Sachsen,12968,12610,358,2021-01-01,2.7606415792720544
Sachsen,13404,12908,496,2022-01-01,3.700387943897344
