Federal States,Pass Rate
Sachsen-Anhalt,92.62796027501908
Sachsen-Anhalt,94.6824873654142
Niedersachsen,94.48668651883548
Mecklenburg-Vorpommern,93.54659248956884
Mecklenburg-Vorpommern,93.47883949960074
Mecklenburg-Vorpommern,93.1481903027544
Mecklenburg-Vorpommern,93.42030629608622
Mecklenburg-Vorpommern,93.00883292614172
Berlin,90.72040412914562
Mecklenburg-Vorpommern,92.69372693726936
Mecklenburg-Vorpommern,93.92600773053562
Mecklenburg-Vorpommern,94.42748091603052
Mecklenburg-Vorpommern,93.08176100628933
