Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;49.665;42.658;15.667;7.251;3.216;9.159;30.011;3.757;33.875;87.827;16.647;3.659;8.930;4.759;12.547;5.728
- bestanden;48.228;41.239;14.954;6.932;3.055;8.816;29.147;3.512;32.387;85.398;16.272;3.565;8.706;4.494;12.104;5.622
- nicht bestanden (abs.);1.437;1.419;713;319;161;343;864;245;1.488;2.429;375;94;224;265;443;106
- nicht bestanden (%);2,9;3,3;4,6;4,4;5,0;3,7;2,9;6,5;4,4;2,8;2,3;2,6;2,5;5,6;3,5;1,9
Notenmittel;2,46;2,33;2,42;2,31;2,46;2,43;2,43;2,37;2,61;2,50;2,54;2,44;2,34;2,42;2,54;2,16
Note;Verteilung in %;;;;;;;;;;;;;;;
1,0;1,28;1,80;1,63;2,25;2,00;1,58;1,41;1,88;0,78;1,43;1,04;1,65;1,18;1,45;0,83;2,79
1,1;0,81;1,13;1,16;1,17;1,24;0,85;1,08;1,68;0,57;0,90;0,71;0,79;0,88;1,00;0,64;2,10
1,2;1,13;1,55;1,36;2,09;1,54;1,32;1,49;1,54;0,77;1,26;0,99;0,93;1,64;1,60;0,94;2,56
1,3;1,47;1,95;2,04;2,24;1,93;1,74;1,89;1,85;1,06;1,64;1,32;1,32;2,19;2,02;1,16;3,06
1,4;1,89;2,28;2,12;2,86;2,32;2,13;2,16;2,42;1,37;2,01;1,63;1,65;2,68;2,02;1,64;4,07
1,5;2,33;3,00;2,61;2,86;2,06;2,43;2,58;3,59;1,61;2,28;1,89;2,69;2,88;1,96;1,88;4,06
1,6;2,55;3,41;2,85;3,51;2,36;2,63;3,00;3,19;1,83;2,53;2,39;2,38;3,69;3,25;2,09;4,82
1,7;3,25;3,78;3,30;3,79;2,49;3,18;3,27;3,90;2,41;2,98;2,75;2,97;3,95;3,40;2,69;4,66
1,8;3,66;4,27;3,66;4,21;3,37;3,72;3,66;3,53;2,65;3,29;3,18;3,65;4,27;4,12;3,16;5,39
1,9;4,15;4,97;3,75;4,86;3,47;3,89;3,84;3,59;3,12;3,69;3,23;4,10;4,69;4,01;3,31;5,39
2,0;4,24;4,95;4,39;4,30;4,32;4,57;4,34;4,21;3,31;3,66;3,90;4,40;5,07;4,36;3,97;5,27
2,1;4,62;5,40;4,37;4,77;4,39;4,65;4,61;4,84;3,71;4,08;4,19;4,63;5,16;4,21;4,05;5,48
2,2;5,04;5,73;4,93;5,67;4,84;5,43;4,78;5,44;4,25;4,49;4,71;4,68;5,43;4,74;4,49;5,00
2,3;5,34;5,61;5,02;5,48;4,94;5,17;5,00;5,32;4,29;4,89;4,98;5,50;5,85;5,70;4,75;5,35
2,4;5,71;6,11;5,20;5,27;4,84;5,23;5,49;4,58;5,12;5,00;4,92;5,67;5,88;5,12;5,39;5,67
2,5;5,76;5,96;5,44;5,76;4,58;5,84;5,79;5,04;5,26;5,30;5,80;6,76;5,70;5,74;5,85;5,35
2,6;5,63;5,56;5,72;5,32;5,37;5,44;5,62;5,58;5,61;5,51;5,17;6,00;5,50;5,67;6,11;4,71
2,7;5,64;5,58;5,77;5,74;5,96;5,73;5,74;5,64;5,80;5,57;5,56;6,17;4,97;5,52;6,11;4,96
2,8;5,52;5,40;5,96;5,99;6,06;5,80;5,54;5,84;6,25;5,55;6,01;5,78;5,08;5,10;6,06;3,88
2,9;5,51;4,96;5,06;4,99;5,24;5,23;5,20;5,89;6,74;5,51;5,65;5,61;5,46;5,54;6,01;3,86
3,0;5,09;4,20;5,12;4,95;6,06;4,79;5,08;4,36;6,10;5,27;6,01;5,72;4,19;5,30;5,92;2,86
3,1;4,79;3,66;5,06;3,77;5,47;4,89;4,73;4,44;6,29;5,38;5,53;5,55;4,05;5,21;5,87;3,09
3,2;4,54;3,12;4,25;3,46;4,78;4,29;4,25;4,10;5,97;4,97;5,19;4,77;3,56;5,12;5,06;2,47
3,3;3,65;2,46;3,54;2,44;4,06;3,74;3,51;3,30;5,34;4,37;4,54;3,17;2,86;3,38;4,48;1,55
3,4;2,84;1,57;2,55;1,34;3,34;2,68;2,73;2,31;4,41;3,57;3,93;2,05;1,67;2,07;3,26;0,91
3,5;2,08;0,92;1,67;0,63;1,87;1,88;1,73;1,22;3,03;2,70;2,51;0,95;1,03;1,74;2,17;0,43
3,6;1,09;0,47;0,92;0,22;0,69;0,86;0,98;0,54;1,66;1,45;1,33;0,28;0,41;0,60;1,31;0,18
3,7;0,32;0,14;0,39;0,07;0,29;0,25;0,42;0,14;0,58;0,56;0,73;0,17;0,06;0,04;0,61;0,04
3,8;0,05;0,05;0,11;0,00;0,07;0,05;0,08;0,03;0,10;0,13;0,15;0,00;0,01;0,02;0,17;0,04
3,9;0,01;0,00;0,03;0,00;0,03;0,01;0,01;0,00;0,01;0,02;0,01;0,00;0,00;0,00;0,02;0,00
4,0;0,00;0,00;0,01;0,00;0,03;0,01;0,00;0,00;0,00;0,01;0,06;0,00;0,00;0,00;0,02;0,00
