Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;51.152;43.875;18.212;10.171;2.863;9.596;25.101;5.563;33.951;85.626;17.879;3.645;12.687;6.227;13.591;6.722
- bestanden;49.339;42.291;16.522;9.733;2.699;9.218;24.081;5.223;32.095;82.612;17.375;3.533;12.247;5.930;12.909;6.587
- nicht bestanden (abs.);1.813;1.584;1.690;438;164;378;1.020;340;1.856;3.014;504;112;440;297;682;135
- nicht bestanden (%);3,5;3,6;9,3;4,3;5,7;3,9;4,1;6,1;5,5;3,5;2,8;3,1;3,5;4,8;5,0;2,0
Notenmittel;2,44;2,31;2,42;2,29;2,41;2,41;2,39;2,33;2,57;2,45;2,48;2,38;2,25;2,32;2,55;2,16
Note;Häufigkeit;;;;;;;;;;;;;;;
1,0;726;935;286;237;61;159;497;114;308;1.523;215;62;294;136;109;167
1,1;476;550;186;158;47;114;312;78;193;919;134;40;185;79;86;146
1,2;690;752;282;186;52;126;416;116;284;1.239;219;45;267;113;117;181
1,3;826;928;307;199;56;175;473;113;417;1.590;260;80;323;124;172;228
1,4;1.025;1.032;364;281;82;203;591;140;546;1.806;340;93;384;171;222;246
1,5;1.216;1.247;444;306;83;272;691;157;629;2.013;431;86;412;166;247;254
1,6;1.425;1.485;475;318;77;312;788;168;702;2.340;507;123;444;213;270;314
1,7;1.587;1.748;530;355;98;311;849;200;813;2.613;522;116;522;230;319;287
1,8;1.814;1.871;609;420;80;338;884;191;966;2.861;609;133;552;273;376;340
1,9;2.041;2.049;654;478;103;384;1.046;230;1.061;3.174;693;134;629;269;414;332
2,0;2.059;2.029;624;459;104;417;1.029;228;1.040;3.175;742;165;601;262;484;356
2,1;2.349;2.158;732;482;109;405;1.052;246;1.240;3.469;760;151;680;328;578;355
2,2;2.426;2.399;760;577;134;438;1.099;299;1.356;3.811;776;160;703;304;542;373
2,3;2.525;2.352;792;546;104;465;1.225;304;1.457;3.979;846;207;696;265;604;351
2,4;2.639;2.393;828;542;120;453;1.232;260;1.615;4.220;896;186;696;319;652;396
2,5;2.765;2.419;928;532;141;511;1.244;271;1.698;4.305;895;197;638;306;658;356
2,6;2.758;2.206;911;587;140;446;1.267;286;1.783;4.361;936;215;603;331;741;345
2,7;2.785;2.379;971;532;121;519;1.288;302;1.796;4.343;908;222;627;314;822;341
2,8;2.688;2.216;915;531;140;499;1.239;261;1.929;4.498;1.018;205;629;292;808;263
2,9;2.669;1.996;951;467;169;494;1.272;253;2.035;4.610;943;196;571;309;802;203
3,0;2.482;1.918;923;429;111;454;1.154;258;1.882;4.209;968;205;510;280;767;242
3,1;2.267;1.468;830;401;126;442;1.115;219;1.867;4.075;891;151;401;254;722;203
3,2;2.136;1.397;755;317;126;368;1.006;208;1.821;3.885;836;145;357;232;718;132
3,3;1.873;1.018;591;187;115;349;826;165;1.654;3.332;772;107;243;191;590;98
3,4;1.421;672;442;131;99;250;695;85;1.395;2.672;520;72;162;94;489;47
3,5;1.004;436;270;45;63;188;431;52;881;2.008;409;28;83;49;331;21
3,6;497;134;109;27;25;92;247;16;527;1.074;196;8;28;25;169;8
3,7;140;58;41;1;6;32;91;3;159;397;90;1;7;1;71;2
3,8;26;17;7;1;3;2;22;0;37;94;28;0;0;0;28;0
3,9;2;9;4;1;0;0;0;0;4;11;6;0;0;0;0;0
4,0;2;20;1;0;4;0;0;0;0;6;9;0;0;0;1;0
