Unnamed: 0,Unnamed: 1,Abschluss,Schuljahr,Schuljahr.1,Schuljahr.2,Schuljahr.3,Schuljahr.4,Schuljahr.5,Schuljahr.6,Schuljahr.7,Schuljahr.8,Schuljahr.9,Schuljahr.10,Schuljahr.11,Schuljahr.12,Schuljahr.13,Schuljahr.14,Schuljahr.15,Schuljahr.16,Schuljahr.17,Schuljahr.18,Schuljahr.19,Schuljahr.20,Schuljahr.21,Schuljahr.22,Schuljahr.23,Schuljahr.24,Schuljahr.25,Schuljahr.26,Schuljahr.27,Schuljahr.28,Schuljahr.29,Schuljahr.30,Schuljahr.31,Schuljahr.32,Schuljahr.33,Schuljahr.34,Schuljahr.35
Baden-Württemberg,Hauptschulen,Ohne Hauptschulabschluss,784,491,1275,679,443,1122,675,439,1114,663,419,1082,889,623,1512,809,508,1317,1003,636,1639,1202,681,1883,997,591,1588,629,364,993,406,282,688,534,307,841
Baden-Württemberg,Schularten mit mehreren Bildungsgängen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Baden-Württemberg,Realschulen,Ohne Hauptschulabschluss,521,322,843,457,320,777,462,349,811,369,240,609,298,172,470,463,208,671,368,249,617,853,540,1393,594,328,922,514,271,785,185,130,315,349,233,582
Baden-Württemberg,Gymnasien (G9),Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Baden-Württemberg,Gymnasien (G8),Ohne Hauptschulabschluss,73,52,125,79,82,161,100,63,163,72,68,140,88,69,157,87,56,143,85,59,144,101,60,161,167,117,284,152,88,240,37,16,53,78,48,126
Baden-Württemberg,Integrierte Gesamtschulen,Ohne Hauptschulabschluss,1,4,5,1,1,2,1,1,2,-,-,-,-,-,-,5,5,10,16,11,27,131,74,205,266,141,407,351,229,580,498,342,840,576,334,910
Baden-Württemberg,Freie Waldorfschulen,Ohne Hauptschulabschluss,18,29,47,22,21,43,32,26,58,42,40,82,21,26,47,31,22,53,35,24,59,56,51,107,64,57,121,51,54,105,33,44,77,23,35,58
Baden-Württemberg,Förderschulen,Ohne Hauptschulabschluss,2401,1549,3950,2294,1523,3817,2305,1498,3803,2126,1478,3604,2243,1439,3682,2198,1376,3574,2205,1434,3639,2283,1407,3690,2201,1428,3629,2238,1340,3578,2325,1314,3639,2300,1392,3692
Baden-Württemberg,Insgesamt,Ohne Hauptschulabschluss,3798,2447,6245,3532,2390,5922,3575,2376,5951,3272,2245,5517,3539,2329,5868,3593,2175,5768,3712,2413,6125,4626,2813,7439,4289,2662,6951,3935,2346,6281,3484,2128,5612,3860,2349,6209
Bayern,Hauptschulen,Ohne Hauptschulabschluss,1776,930,2706,1463,826,2289,1519,883,2402,1392,743,2135,1483,823,2306,1783,839,2622,2425,1002,3427,2490,1135,3625,2212,1137,3349,2199,1148,3347,1593,931,2524,1672,901,2573
Bayern,Schularten mit mehreren Bildungsgängen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bayern,Realschulen,Ohne Hauptschulabschluss,256,175,431,307,190,497,304,170,474,272,171,443,259,169,428,297,165,462,286,179,465,502,163,665,485,172,657,359,145,504,195,99,294,228,118,346
Bayern,Gymnasien (G9),Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,1,1,2,2,4
Bayern,Gymnasien (G8),Ohne Hauptschulabschluss,117,78,195,131,68,199,97,100,197,101,79,180,101,79,180,79,45,124,71,51,122,66,38,104,76,37,113,54,43,97,23,22,45,37,32,69
Bayern,Integrierte Gesamtschulen,Ohne Hauptschulabschluss,5,3,8,6,6,12,4,2,6,7,7,14,5,1,6,9,6,15,4,2,6,4,2,6,4,-,4,3,-,3,1,2,3,-,3,3
Bayern,Freie Waldorfschulen,Ohne Hauptschulabschluss,56,48,104,62,55,117,75,62,137,65,77,142,64,63,127,67,61,128,87,60,147,64,61,125,64,64,128,17,14,31,69,67,136,57,62,119
Bayern,Förderschulen,Ohne Hauptschulabschluss,2490,1645,4135,2345,1524,3869,1980,1263,3243,1844,1234,3078,1674,1171,2845,1817,1091,2908,1734,1132,2866,1809,1162,2971,1958,1205,3163,1817,1173,2990,1809,1152,2961,1918,1122,3040
