Bundesland;Schulform;Schulabschluss;09_10_m;09_10_w;09_10_ins;10_11_m;10_11_w;10_11_ins;11_12_m;11_12_w;11_12_ins;12_13_m;12_13_w;12_13_ins;13_14_m;13_14_w;13_14_ins;14_15_m;14_15_w;14_15_ins;15_16_m;15_16_w;15_16_ins;16_17_m;16_17_w;16_17_ins;17_18_m;17_18_w;17_18_ins;18_19_m;18_19_w;18_19_ins;19_20_m;19_20_w;19_20_ins;20_21_m;20_21_w;20_21_ins
Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;3798;2447;6245;3532;2390;5922;3575;2376;5951;3272;2245;5517;3539;2329;5868;3593;2175;5768;3712;2413;6125;4626;2813;7439;4289;2662;6951;3935;2346;6281;3484;2128;5612;3860;2349;6209
Baden-Württemberg;Insgesamt;Hauptschulabschluss;18043;13956;31999;17413;13399;30812;13295;10009;23304;13762;10190;23952;13031;9642;22673;12936;9269;22205;12668;9190;21858;10329;7324;17653;10511;6982;17493;10401;6690;17091;10433;7016;17449;9812;6383;16195
Baden-Württemberg;Insgesamt;Mittlerer Schulabschluss;25136;25014;50150;24660;24567;49227;25364;25291;50655;29180;28082;57262;29439;27797;57236;29340;27950;57290;29055;27075;56130;27725;26090;53815;26594;24008;50602;26049;24718;50767;26254;24413;50667;24771;23688;48459
Baden-Württemberg;Insgesamt;Fachhochschulreife;164;149;313;136;174;310;180;200;380;160;146;306;135;153;288;147;198;345;169;193;362;176;179;355;152;198;350;184;204;388;196;193;389;194;194;388
Baden-Württemberg;Insgesamt;Allgemeine Hochschulreife;15258;18751;34009;15835;19539;35374;27498;32040;59538;15795;18013;33808;15324;18207;33531;16348;18780;35128;15935;18696;34631;15870;18083;33953;15315;17794;33109;14405;17448;31853;13414;16129;29543;12939;15506;28445
Baden-Württemberg;Insgesamt;Insgesamt;62399;60317;122716;61576;60069;121645;69912;69916;139828;62169;58676;120845;61468;58128;119596;62364;58372;120736;61539;57567;119106;58726;54489;113215;56861;51644;108505;54974;51406;106380;53781;49879;103660;51576;48120;99696
Bayern;Insgesamt;Ohne Hauptschulabschluss;4700;2879;7579;4314;2669;6983;3979;2480;6459;3681;2311;5992;3586;2306;5892;4052;2207;6259;4607;2426;7033;4935;2561;7496;4799;2615;7414;4450;2524;6974;3690;2274;5964;3914;2240;6154
Bayern;Insgesamt;Hauptschulabschluss;20583;14924;35507;20068;14339;34407;20181;14228;34409;18258;12879;31137;17925;12386;30311;17480;11676;29156;17127;11602;28729;16110;10749;26859;17045;10838;27883;16000;10808;26808;14617;9602;24219;13726;9191;22917
Bayern;Insgesamt;Mittlerer Schulabschluss;28749;31148;59897;29078;30841;59919;29302;30971;60273;30329;32002;62331;30754;32091;62845;30590;31568;62158;32191;33214;65405;31337;31314;62651;30131;30334;60465;29189;29887;59076;27884;28862;56746;28059;28467;56526
Bayern;Insgesamt;Fachhochschulreife;15;21;36;6;6;12;9;4;13;3;3;6;3;2;5;5;2;7;3;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Insgesamt;Allgemeine Hochschulreife;16243;19476;35719;31577;37303;68880;17056;19699;36755;17432;20252;37684;17375;20221;37596;17857;20920;38777;17955;21030;38985;18112;20959;39071;17523;20908;38431;16830;20107;36937;15285;18347;33632;15846;18995;34841
Bayern;Insgesamt;Insgesamt;70290;68448;138738;85043;85158;170201;70527;67382;137909;69703;67447;137150;69643;67006;136649;69984;66373;136357;71883;68273;140156;70494;65583;136077;69498;64695;134193;66469;63326;129795;61476;59085;120561;61545;58893;120438
Berlin;Insgesamt;Ohne Hauptschulabschluss;1611;1119;2730;1462;1025;2487;1300;1039;2339;1209;906;2115;1398;1032;2430;1812;1197;3009;1493;997;2490;1721;1262;2983;1780;1175;2955;1621;1078;2699;1247;790;2037;1221;779;2000
Berlin;Insgesamt;Hauptschulabschluss;3837;3052;6889;3475;2837;6312;3504;2691;6195;3318;2613;5931;2841;2249;5090;2862;2324;5186;2575;1970;4545;2522;2043;4565;2486;2048;4534;2774;2092;4866;2589;1713;4302;2452;1750;4202
Berlin;Insgesamt;Mittlerer Schulabschluss;4807;4283;9090;4711;4229;8940;5040;4520;9560;5212;4912;10124;5368;4789;10157;5562;4836;10398;5249;4644;9893;5320;4466;9786;5111;4309;9420;5394;4692;10086;5710;4985;10695;6202;5477;11679
Berlin;Insgesamt;Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Berlin;Insgesamt;Allgemeine Hochschulreife;5586;6786;12372;5423;6440;11863;7744;9411;17155;5708;6522;12230;5618;6718;12336;5780;6965;12745;6550;7555;14105;7028;8087;15115;6485;7500;13985;6268;7397;13665;6243;7460;13703;6347;7335;13682
