;Unnamed: 0;Unnamed: 1;Abschluss;Schuljahr.3;Schuljahr.4;Schuljahr.5
0;Baden-Württemberg;Hauptschulen;Ohne Hauptschulabschluss;679;443;1122
1;Baden-Württemberg;Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;0;0;0
2;Baden-Württemberg;Realschulen;Ohne Hauptschulabschluss;457;320;777
3;Baden-Württemberg;Gymnasien (G9);Ohne Hauptschulabschluss;0;0;0
4;Baden-Württemberg;Gymnasien (G8);Ohne Hauptschulabschluss;79;82;161
5;Baden-Württemberg;Integrierte Gesamtschulen;Ohne Hauptschulabschluss;1;1;2
6;Baden-Württemberg;Freie Waldorfschulen;Ohne Hauptschulabschluss;22;21;43
7;Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2294;1523;3817
8;Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;3532;2390;5922

;Unnamed: 0;Unnamed: 1;Abschluss;Schuljahr.6;Schuljahr.7;Schuljahr.8
0;Baden-Württemberg;Hauptschulen;Ohne Hauptschulabschluss;675;439;1114
1;Baden-Württemberg;Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;0;0;0
2;Baden-Württemberg;Realschulen;Ohne Hauptschulabschluss;462;349;811
3;Baden-Württemberg;Gymnasien (G9);Ohne Hauptschulabschluss;0;0;0
4;Baden-Württemberg;Gymnasien (G8);Ohne Hauptschulabschluss;100;63;163
5;Baden-Württemberg;Integrierte Gesamtschulen;Ohne Hauptschulabschluss;1;1;2
6;Baden-Württemberg;Freie Waldorfschulen;Ohne Hauptschulabschluss;32;26;58
7;Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2305;1498;3803
8;Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;3575;2376;5951

;Unnamed: 0;Unnamed: 1;Abschluss;Schuljahr.9;Schuljahr.10;Schuljahr.11
0;Baden-Württemberg;Hauptschulen;Ohne Hauptschulabschluss;663;419;1082
1;Baden-Württemberg;Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;0;0;0
2;Baden-Württemberg;Realschulen;Ohne Hauptschulabschluss;369;240;609
3;Baden-Württemberg;Gymnasien (G9);Ohne Hauptschulabschluss;0;0;0
4;Baden-Württemberg;Gymnasien (G8);Ohne Hauptschulabschluss;72;68;140
5;Baden-Württemberg;Integrierte Gesamtschulen;Ohne Hauptschulabschluss;0;0;0
6;Baden-Württemberg;Freie Waldorfschulen;Ohne Hauptschulabschluss;42;40;82
7;Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2126;1478;3604
8;Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;3272;2245;5517

;Unnamed: 0;Unnamed: 1;Abschluss;Schuljahr.12;Schuljahr.13;Schuljahr.14
0;Baden-Württemberg;Hauptschulen;Ohne Hauptschulabschluss;889;623;1512
1;Baden-Württemberg;Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;0;0;0
2;Baden-Württemberg;Realschulen;Ohne Hauptschulabschluss;298;172;470
3;Baden-Württemberg;Gymnasien (G9);Ohne Hauptschulabschluss;0;0;0
4;Baden-Württemberg;Gymnasien (G8);Ohne Hauptschulabschluss;88;69;157
5;Baden-Württemberg;Integrierte Gesamtschulen;Ohne Hauptschulabschluss;0;0;0
6;Baden-Württemberg;Freie Waldorfschulen;Ohne Hauptschulabschluss;21;26;47
7;Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2243;1439;3682
8;Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;3539;2329;5868

;Unnamed: 0;Unnamed: 1;Abschluss;Schuljahr.15;Schuljahr.16;Schuljahr.17
0;Baden-Württemberg;Hauptschulen;Ohne Hauptschulabschluss;809;508;1317
1;Baden-Württemberg;Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;0;0;0
2;Baden-Württemberg;Realschulen;Ohne Hauptschulabschluss;463;208;671
3;Baden-Württemberg;Gymnasien (G9);Ohne Hauptschulabschluss;0;0;0
4;Baden-Württemberg;Gymnasien (G8);Ohne Hauptschulabschluss;87;56;143
5;Baden-Württemberg;Integrierte Gesamtschulen;Ohne Hauptschulabschluss;5;5;10
6;Baden-Württemberg;Freie Waldorfschulen;Ohne Hauptschulabschluss;31;22;53
7;Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2198;1376;3574
8;Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;3593;2175;5768

;Unnamed: 0;Unnamed: 1;Abschluss;Schuljahr.18;Schuljahr.19;Schuljahr.20
0;Baden-Württemberg;Hauptschulen;Ohne Hauptschulabschluss;1003;636;1639
1;Baden-Württemberg;Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;0;0;0
2;Baden-Württemberg;Realschulen;Ohne Hauptschulabschluss;368;249;617
3;Baden-Württemberg;Gymnasien (G9);Ohne Hauptschulabschluss;0;0;0
4;Baden-Württemberg;Gymnasien (G8);Ohne Hauptschulabschluss;85;59;144
5;Baden-Württemberg;Integrierte Gesamtschulen;Ohne Hauptschulabschluss;16;11;27
6;Baden-Württemberg;Freie Waldorfschulen;Ohne Hauptschulabschluss;35;24;59
7;Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2205;1434;3639
8;Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;3712;2413;6125

;Unnamed: 0;Unnamed: 1;Abschluss;Schuljahr.21;Schuljahr.22;Schuljahr.23
0;Baden-Württemberg;Hauptschulen;Ohne Hauptschulabschluss;1202;681;1883
1;Baden-Württemberg;Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;0;0;0
2;Baden-Württemberg;Realschulen;Ohne Hauptschulabschluss;853;540;1393
3;Baden-Württemberg;Gymnasien (G9);Ohne Hauptschulabschluss;0;0;0
4;Baden-Württemberg;Gymnasien (G8);Ohne Hauptschulabschluss;101;60;161
5;Baden-Württemberg;Integrierte Gesamtschulen;Ohne Hauptschulabschluss;131;74;205
6;Baden-Württemberg;Freie Waldorfschulen;Ohne Hauptschulabschluss;56;51;107
7;Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2283;1407;3690
8;Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;4626;2813;7439

;Unnamed: 0;Unnamed: 1;Abschluss;Schuljahr.24;Schuljahr.25;Schuljahr.26
0;Baden-Württemberg;Hauptschulen;Ohne Hauptschulabschluss;997;591;1588
1;Baden-Württemberg;Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;0;0;0
2;Baden-Württemberg;Realschulen;Ohne Hauptschulabschluss;594;328;922
3;Baden-Württemberg;Gymnasien (G9);Ohne Hauptschulabschluss;0;0;0
4;Baden-Württemberg;Gymnasien (G8);Ohne Hauptschulabschluss;167;117;284
5;Baden-Württemberg;Integrierte Gesamtschulen;Ohne Hauptschulabschluss;266;141;407
6;Baden-Württemberg;Freie Waldorfschulen;Ohne Hauptschulabschluss;64;57;121
7;Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2201;1428;3629
8;Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;4289;2662;6951

;Unnamed: 0;Unnamed: 1;Abschluss;Schuljahr.27;Schuljahr.28;Schuljahr.29
0;Baden-Württemberg;Hauptschulen;Ohne Hauptschulabschluss;629;364;993
1;Baden-Württemberg;Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;0;0;0
2;Baden-Württemberg;Realschulen;Ohne Hauptschulabschluss;514;271;785
3;Baden-Württemberg;Gymnasien (G9);Ohne Hauptschulabschluss;0;0;0
4;Baden-Württemberg;Gymnasien (G8);Ohne Hauptschulabschluss;152;88;240
5;Baden-Württemberg;Integrierte Gesamtschulen;Ohne Hauptschulabschluss;351;229;580
6;Baden-Württemberg;Freie Waldorfschulen;Ohne Hauptschulabschluss;51;54;105
7;Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2238;1340;3578
8;Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;3935;2346;6281

